Arbol,Altura,DAP,LtNG,LtNM,LtNS,LngOG,LngOM,LngOS,Especie,Acronimo,Crecimiento,Rep,Trep,Orientaci_n,Cobertura
1,20,29,19,29,10.4,97,2,19,Fibrillithecis confusa,FiCon,Cos,Asex,Isid,Sur,4
1,20,29,19,29,10.4,97,2,19,Herpothallon roseocintum,HeRos,Cos,Asex,Isid,Sur,18
1,20,29,19,29,10.4,97,2,19,Herpothallon rubrocinctum,HeRub,Cos,Asex,Isid,Sur,6
1,20,29,19,29,10.4,97,2,19,Hypotrachyna sp. ,HySp,Fol,NaN,NaN,Sur,8
1,20,29,19,29,10.4,97,2,19,Ocellularia landronii,OcLa,Cos,Sex,Apot,Sur,44
1,20,29,19,29,10.4,97,2,19,Parmotrema rampoddense,PaRam,Fol,Asex,Sor,Sur,8
1,20,29,19,29,10.4,97,2,19,Porina distans,PorDi,Cos,Asex,Isid,Norte,28
2,15,21,19,29,10.4,97,2,19,Ocellularia sp. 1,OcSp1,Cos,NaN,NaN,Sur,28
2,15,21,19,29,10.4,97,2,19,Phyllopsora cf. swinscowii,PhSwi,Cos,Asex,Isid,Sur,24
2,15,21,19,29,10.4,97,2,19,Phyllopsora sp.,PhlSp,Cos,NaN,NaN,Sur,10
5,25,70,19,29,10.4,97,2,19,Herpothallon sp.,HeSp,Cos,Asex,Isid,Oeste,48
5,25,70,19,29,10.4,97,2,19,Ocellularia sp. 1,OcSp1,Cos,NaN,NaN,Oeste,116
7,24,48,19,29,10.4,97,2,19,Herpothallon rubrocinctum,HeRub,Cos,Asex,Isid,Noroeste,16
7,24,48,19,29,10.4,97,2,19,Sprucidea gymnopiperis,SpGym,Cos,Asex,Isid,Noroeste,52
7,24,48,19,29,10.4,97,2,19,Thelotrema lepadium,ThLep,Cos,Sex,Apot,Noroeste,24
8,17,31,19,29,10.4,97,2,19,Herpothallon rubrocinctum,HeRub,Cos,Asex,Isid,Sur,2
8,17,31,19,29,10.4,97,2,19,Ocellularia sp. 1,OcSp1,Cos,NaN,NaN,Norte,200
8,17,31,19,29,10.4,97,2,19,Ocellularia sp. 1,OcSp1,Cos,NaN,NaN,Sur,262
