Arbol,Altura,DAP,Latitud NG,Latitud NM,Latitud NS,Longitud OG,Longitud OM,Longitud OS,Especie,Acro,Crecimiento,Rep,Tip Rep,Orientacion,Cobertura,
1,20,29,19,29,10.4,97,2,19,Cladonia coniocraea,ClCon,Com,Sex,apot,NaN,NaN,
1,20,29,19,29,10.4,97,2,19,Fibrillithecis confusa,FiCon,Cos,Asex,Isid,Sur,4,
1,20,29,19,29,10.4,97,2,19,Herpothallon roseocintum,HeRos,Cos,Asex,Isid,Sur,18,
1,20,29,19,29,10.4,97,2,19,Herpothallon rubrocinctum,HeRub,Cos,Asex,Isid,Sur,6,
1,20,29,19,29,10.4,97,2,19,Hypotrachyna sp. ,HySp,Fol,NaN,NaN,Sur,8,
1,20,29,19,29,10.4,97,2,19,Ocellularia landronii,OcLa,Cos,Sex,Apot,Sur,44,
1,20,29,19,29,10.4,97,2,19,Ocellularia sp. 1,OcSp1,Cos,NaN,NaN,NaN,NaN,
1,20,29,19,29,10.4,97,2,19,Parmotrema rampoddense,PaRam,Fol,Asex,Sor,Sur,8,
1,20,29,19,29,10.4,97,2,19,Polyblastidium japonicum,PolJa,Fol,Asex,Sor,NaN,NaN,
1,20,29,19,29,10.4,97,2,19,Porina distans,PorDi,Cos,Asex,Isid,Norte,28,
1,20,29,19,29,10.4,97,2,19,Pyrenula fetivica,PyFet,Cos,Sex,Apot,NaN,NaN,
1,20,29,19,29,10.4,97,2,19,Sticta beauvoisii,StBea,Fol,Asex,Isid,NaN,NaN,
2,15,21,19,29,10.4,97,2,19,Ocellularia sp. 1,OcSp1,Cos,NaN,NaN,Sur,28,
2,15,21,19,29,10.4,97,2,19,Phyllopsora cf. swinscowii,PhSwi,Cos,Asex,Isid,Sur,24,
2,15,21,19,29,10.4,97,2,19,Phyllopsora sp.,PhlSp,Cos,NaN,NaN,Sur,10,
3,2,6,19,29,10.4,97,2,19,Graphis aff. immersicans,GrIm,Cos,Sex,Lirel,NaN,NaN,
3,2,6,19,29,10.4,97,2,19,Graphis conferta,GrCon,Cos,Sex,Lirel,NaN,NaN,
3,2,6,19,29,10.4,97,2,19,Graphis ingarum,GrIng,Cos,Sex,Lirel,NaN,NaN,
3,2,6,19,29,10.4,97,2,19,Herpothallon roseocintum,HeRos,Cos,Asex,Isid,NaN,NaN,
3,2,6,19,29,10.4,97,2,19,Ocellularia sp. 1,OcSp1,Cos,NaN,NaN,NaN,NaN,
3,2,6,19,29,10.4,97,2,19,Phlyctis boliviensis,PhBol,Cos,Sex,Apot,NaN,NaN,
4,4,6,19,29,10.4,97,2,19,Herpothallon philippinum,HePhi,Cos,Asex,Isid,NaN,NaN,
